"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","CZ error","RZZ error","MEASURE error","Operational"
"22","191.58158248026984","149.09112040803365","0.0052490234375","0.008544921875","0.001953125","1560","0.0001716172100091811","24","0.0001716172100091811","0","0.0001716172100091811","0.0001716172100091811","23:68;21:68","23:0.0015794357152492666;21:0.005617601698870156","23:0.0015391496751815392;21:0.002454684190480144","0.0052490234375","Yes"
"23","134.39289951941998","152.67109196248484","0.0047607421875","0.008056640625","0.00146484375","1560","0.0001794502678947293","24","0.0001794502678947293","0","0.0001794502678947293","0.0001794502678947293","22:68;24:68;16:68","22:0.0015794357152492666;24:0.007686055652402296;16:0.003716835132373336","22:0.0015391496751815392;24:0.003983345419524664;16:0.0023400441619103873","0.0047607421875","Yes"
"24","163.91867108048814","183.4583591116135","0.0223388671875","0.033935546875","0.0107421875","1560","0.0008004721194282538","24","0.0008004721194282538","0","0.0008004721194282538","0.0008004721194282538","23:68;25:68","23:0.007686055652402296;25:0.024879371195916072","23:0.003983345419524664;25:0.01700786866163323","0.0223388671875","Yes"
"25","57.9089247490841","61.233864858339516","0.0299072265625","0.029296875","0.030517578125","1560","0.0002857310324757302","24","0.0002857310324757302","0","0.0002857310324757302","0.0002857310324757302","24:68;26:68;37:68","24:0.024879371195916072;26:0.0024106606379249162;37:0.0016328778615250228","24:0.01700786866163323;26:0.0020878356357229844;37:0.0015969148156048663","0.0299072265625","Yes"
"26","189.57356448452256","124.78452402448366","0.0147705078125","0.018310546875","0.01123046875","1560","0.000233119718936407","24","0.000233119718936407","0","0.000233119718936407","0.000233119718936407","25:68;27:68","25:0.0024106606379249162;27:0.025405849306502026","25:0.0020878356357229844;27:0.026704237874697473","0.0147705078125","Yes"
"27","149.3605375377151","162.5427025360398","0.017822265625","0.0234375","0.0107421875","1560","0.003570492158241992","24","0.003570492158241992","0","0.003570492158241992","0.003570492158241992","26:68;28:68;17:68","26:0.025405849306502026;17:0.023844967399856004","26:0.026704237874697473;28:0.10678648907938582;17:0.03352377111899019","0.017822265625","Yes"
"28","123.65914270095996","123.7385871466785","0.0067138671875","0.01123046875","0.002197265625","1560","0.0003187326679173314","24","0.0003187326679173314","0","0.0003187326679173314","0.0003187326679173314","27:68;29:68","29:0.003481266382108744","27:0.10678648907938582;29:0.0023577661397161387","0.0067138671875","Yes"
"29","132.11150515325943","46.23657216174786","0.013427734375","0.02099609375","0.005859375","1560","0.0002313610995725018","24","0.0002313610995725018","0","0.0002313610995725018","0.0002313610995725018","38:68;28:68;30:68","38:0.0020785083426669015;28:0.003481266382108744;30:0.0023201832412522994","38:0.002233093106189632;28:0.0023577661397161387;30:0.0023043187297928647","0.013427734375","Yes"
"30","90.63870323322044","71.1326126953844","0.0078125","0.01025390625","0.00537109375","1560","0.0003157546610640595","24","0.0003157546610640595","0","0.0003157546610640595","0.0003157546610640595","31:68;29:68","31:0.0028996732698023664;29:0.0023201832412522994","31:0.003081528606676681;29:0.0023043187297928647","0.0078125","Yes"
"31","130.79581395394496","37.67669873477201","0.0140380859375","0.02294921875","0.005126953125","1560","0.0005269976039733784","24","0.0005269976039733784","0","0.0005269976039733784","0.0005269976039733784","30:68;32:68;18:68","30:0.0028996732698023664;32:0.04073058790814563;18:0.004277515130002796","30:0.003081528606676681;32:0.009750962626995041;18:0.005095763467340836","0.0140380859375","Yes"
