Qubit,T1 (us),T2 (us),Prob meas 0 prep 1,Prob meas 1 prep 0,Single Qubit Gate Length (ns),x Error,sx Error,rx Error,Gate Length (ns),cz Error,rzz Error
38,120.32896641876786,128.9312468347598,0.013427734375,0.004150390625,24,0.0002526732252171,0.0002526732252171,0.0002526732252171,29:68;49:68,29:0.0020785083426669015;49:0.0032394320896872164,29:0.002233093106189632;49:0.0027399180694498704
39,187.59446551723883,224.7039984881172,0.02001953125,0.014404296875,24,0.0006022159405062,0.0006022159405062,0.0006022159405062,53:68;33:68,53:0.0059043218502426165;33:0.0019783076898204077,53:0.004295909263283243;33:0.002000216725630638
40,120.3948569712532,112.65415697106724,0.028076171875,0.022705078125,24,0.0002500976789996,0.0002500976789996,0.0002500976789996,41:68,41:0.0015452585080087955,41:0.0017250258950388397
41,189.1699582680106,130.42343098799444,0.163818359375,0.092041015625,24,0.0001559252518943,0.0001559252518943,0.0001559252518943,40:68;42:68;36:68,40:0.0015452585080087955;42:0.002143103767760335;36:0.001882751350293671,40:0.0017250258950388397;42:0.002319660522660222;36:0.0023233580099382423
42,129.8968323986092,40.72380955259455,0.01904296875,0.029296875,24,0.0002724964379993,0.0002724964379993,0.0002724964379993,41:68;43:68,41:0.002143103767760335;43:0.006040117733544181,41:0.002319660522660222;43:0.007416843089099956
43,97.03710940563754,63.37560874235642,0.1220703125,0.13427734375,24,0.0010621455969069,0.0010621455969069,0.0010621455969069,42:68;56:68;44:68,42:0.006040117733544181;56:0.006237104113822889;44:0.022823634188121972,42:0.007416843089099956;56:0.006162099185841374;44:0.02839760582437137
44,166.07051869447014,159.50903447423534,0.0078125,0.002685546875,24,0.0003440170134237,0.0003440170134237,0.0003440170134237,45:68;43:68,45:0.0020510577995355717;43:0.022823634188121972,45:0.0020066402179907405;43:0.02839760582437137
45,135.18026539266873,91.88220302811274,0.04833984375,0.0390625,24,0.0002886881647478,0.0002886881647478,0.0002886881647478,44:68;46:68;37:68,44:0.0020510577995355717;46:0.002875193665773601;37:0.0018483487699551826,44:0.0020066402179907405;46:0.0028473593731100366;37:0.0016924451189244127
46,163.30724976105287,11.08070924409532,0.01025390625,0.003173828125,24,0.0005659539720758,0.0005659539720758,0.0005659539720758,45:68;47:68,45:0.002875193665773601;47:0.0024444907810943217,45:0.0028473593731100366;47:0.002407216325208128
47,102.68364638918295,51.63107759678767,0.035400390625,0.015380859375,24,0.0002549590475437,0.0002549590475437,0.0002549590475437,48:68;57:68;46:68,48:0.0017823944426606508;57:0.013800056599312632;46:0.0024444907810943217,48:0.0017761687133842075;57:0.0026253578687719104;46:0.002407216325208128
