Qubit,T2 (us),Prob meas 0 prep 1,Prob meas 1 prep 0,Single Qubit Gate Length (ns),x Error,sx Error,rz Error,rx Error,Gate Length (ns),cz Error,rzz Error
55,78.90753528802618,0.021728515625,0.0126953125,36,0.0004224188387873,0.0004224188387873,0,0.0004224188387873,59:68;54:68,59:0.0018940600405011054;54:0.0016610193566561349,59:0.0019063849978860348;54:0.001349436448974256
56,124.59742851458996,0.015380859375,0.001708984375,36,0.0009055530938823,0.0009055530938823,0,0.0009055530938823,63:68;43:68,63:0.002384564403023981;43:0.002307819034086528,63:0.0024183453804128563;43:0.002287345085868725
57,187.80446170662785,0.0166015625,0.001953125,36,0.0005506671409846,0.0005506671409846,0,0.0005506671409846,47:68;67:68,47:0.0024099866982909834;67:0.002155396255296871,47:0.001496617021083002;67:0.002443027557046229
58,183.057984871157,0.032470703125,0.01513671875,36,0.0002001922458438,0.0002001922458438,0,0.0002001922458438,71:68;51:68,71:0.0021415660896072775;51:0.001791177306929348,71:0.0038939560274114937;51:0.003927530176708133
59,220.9132895855187,0.031982421875,0.001708984375,36,0.0001899977738775,0.0001899977738775,0,0.0001899977738775,55:68;75:68,55:0.0018940600405011054;75:0.002547656700660733,55:0.0019063849978860348;75:0.0023182674291963024
60,199.9080547745111,0.034912109375,0.068603515625,36,0.0002853792367714,0.0002853792367714,0,0.0002853792367714,61:80,61:0.005724726773826017,61:0.02447163941468053
61,261.05272584157984,0.01025390625,0.002685546875,36,0.0002764615563726,0.0002764615563726,0,0.0002764615563726,76:68;60:80;62:68,76:0.0019200083401684775;60:0.005724726773826017;62:0.002716786928701226,76:0.001913191565285327;60:0.02447163941468053;62:0.0019150656778808561
62,61.53492688846488,0.184814453125,0.028564453125,36,0.0005584656446411,0.0005584656446411,0,0.0005584656446411,61:68;63:68,61:0.002716786928701226;63:0.0026227193169002516,61:0.0019150656778808561;63:0.0019560137980044467
63,140.65982191484886,0.026611328125,0.0087890625,36,0.0005784561396675,0.0005784561396675,0,0.0005784561396675,56:68;62:68;64:68,56:0.002384564403023981;62:0.0026227193169002516;64:0.002985036439209804,56:0.0024183453804128563;62:0.0019560137980044467;64:0.0029538156809929272
64,122.52550078802146,0.01708984375,0.001953125,36,0.000781413155595,0.000781413155595,0,0.000781413155595,65:68;63:68,65:0.002846222721112429;63:0.002985036439209804,65:0.0027008459357327486;63:0.0029538156809929272
65,65.30513622653137,0.15966796875,0.009765625,36,0.0002319725200052,0.0002319725200052,0,0.0002319725200052,64:68;66:68;77:68,64:0.002846222721112429;66:0.002774433188187958;77:0.0022045129778301975,64:0.0027008459357327486;66:0.001898561990402059;77:0.0015328060836495572
66,114.52268492434612,0.0107421875,0.000244140625,36,0.0005832543447762,0.0005832543447762,0,0.0005832543447762,65:68;67:68,65:0.002774433188187958;67:0.0026393847809711712,65:0.001898561990402059;67:0.0018329144839089595
